code,name,info,nit,cost
52685-424,Alphazap,Burkitt's tumor thorax,05LQ3ZZ,379.9689
49967-859,Duobam,Cystitis in oth dis,0Q8M4ZZ,322.4736
61957-0116,Sub-Ex,Circadian rhym-free run,0W9K4ZZ,292.59301
15127-822,Bytecard,Vaginismus,0C5R4ZZ,992.1089
50436-0913,Aerified,Poisoning-alkalizing agt,0TB70ZX,152.44602
10742-1233,Zaam-Dox,Cocaine depend-episodic,30253G1,721.10755
47593-360,Fixflex,Mal neo breast up-outer,7W08X1Z,72.34071
52389-169,Tampflex,Vocal cord paralysis NOS,0270356,306.70521
0378-2625,Otcom,Joint sympt NEC-forearm,037M3F6,103.28051
55154-5717,Job,Precipitate labor-unspec,0MBS0ZX,572.3064
51615-001,Andalax,Heredit hemochromatosis,0K9J4ZX,302.44158
64205-087,Holdlamis,Acoustic trauma,0GTM0ZZ,560.62628
50436-9101,Rank,Thyrotox-ect nod no cris,2W5FX2Z,21.38479
49738-388,Bitwolf,Genu varum,06HC0DZ,659.65003
55154-6280,Sub-Ex,Cl skul base fx/brf coma,0SRW07Z,675.98994
10742-8564,Quo Lux,TB periph lymph-no exam,0NB60ZX,887.72597
0074-7148,Opela,Vasc lesion cord-unspec,0SSQX4Z,411.63549
68703-028,Bitchip,Unilat ing hernia w gang,01UG07Z,65.91768
0603-3078,Gembucket,Acc-cutting instrum NEC,047V3Z6,733.46872
0378-9680,Stringtough,Benign neo esophagus,0RGA07J,617.06377
51393-7533,Rank,Peritoneum injury-open,0QWQ34Z,890.56849
63868-953,Veribet,Mal neo small bowel NOS,0RWS38Z,100.67978
68987-011,Home Ing,Bone disorder-antepartum,0CRXXJ1,908.7143
37205-034,Zamit,Cortical/zonular catarac,0KBP4ZX,286.60254
44924-008,Aerified,Oth VD chlm trch pharynx,0P960ZX,848.70897
65757-301,Asoka,Opn skul/oth fx w/o coma,0DPD43Z,889.91307
43269-876,Holdlamis,Injury-caustic substance,0PWT3KZ,912.02336
0172-6359,Regrant,Acc poison-pesticide NEC,01S80ZZ,420.39362
43857-0029,Prodder,Injury-NOS,0DL98ZZ,313.83952
21695-900,Ronstring,Ac diastolic hrt failure,8E0UXY7,588.27267
50383-268,Overhold,Simpl chr conjunctivitis,0RH634Z,926.96939
50076-301,Bitchip,"Actv Meniere,cochlvestib",0PQS0ZZ,642.2804
0135-0474,Sonair,Jt contracture-jt NEC,0WPM31Z,769.07487
68788-9952,Asoka,Cornea degeneration NEC,6A750Z7,965.54573
0378-4520,Sub-Ex,Loss control mv-pedest,0KB93ZX,235.34474
0068-0011,Lotstring,Groom/shearing animal,0J2WXYZ,401.87053
43353-290,Sonsing,Hx of ovarian malignancy,02HK4MZ,546.31604
10812-128,Alpha,Lymphogranuloma venereum,0XJ23ZZ,844.66017
65044-2214,Cardguard,Lung laceration-open,00B23ZZ,411.88102
49643-359,Pannier,Malign neopl thorax,0T9C3ZZ,487.58662
11523-4322,Domainer,Cicatricial entropion,0P500ZZ,103.77217
62891-123,Domainer,Prim lateral sclerosis,0373456,261.83943
36987-1282,Otcom,Lt eff inj thor/abd vess,0YUN07Z,739.09398
17856-4091,Subin,Preg w hx-trophoblas dis,0SWQ4JZ,209.76748
54024-000,Flowdesk,Recurrnt sleep paralysis,0WWB3YZ,347.39654
43419-324,Tres-Zap,Oth coll stnd obj-rider,04L54CZ,575.40064
13733-019,Wrapsafe,Ped pre-brth vst-parent,041C0J7,108.21825
55154-2678,Regrant,Omphalitis of newborn,03140Z5,7.4586
54118-7990,Lotlux,Interstitial emphysema,0FT50ZZ,120.00652
35356-272,Cookley,Mal neo male breast NEC,0NUP37Z,750.87798
49035-148,Overhold,Brachial neuritis NOS,0JWWXJZ,938.63007
0409-4900,Rank,Esophagostomy infection,047J37Z,110.57117
49967-075,Temp,"Pancreas, head inj-close",0DR50JZ,653.63853
0187-3204,Cardify,Neonatal hemorrhage NOS,00WV42Z,851.79381
0603-1329,Sonsing,Primary cyst pars plana,0D1L4JL,323.47717
30142-425,Namfix,Malfunc prosth hrt valve,0D1A4JL,757.43968
0169-3685,Fix San,Acute gc infect lower gu,0JH839Z,486.85773
52584-555,Tempsoft,Nonprolf db retnoph NOS,00W03KZ,374.45732
63736-663,Alphazap,Inf arthrit NOS-oth site,0KMV0ZZ,421.74009
0071-0525,Solarbreeze,Ascorbic acid deficiency,D9Y37ZZ,104.38839
49288-0410,Opela,Post MI syndrome,0RGX44Z,666.71348
43353-895,Fixflex,Mal neo post nasopharynx,04N34ZZ,208.97413
62541-302,Hatity,Aftrcre surg MS syst NEC,0V9K3ZZ,867.29009
63459-546,Matsoft,Trematode infection NOS,0VW87KZ,967.85145
63323-492,Regrant,Supracondyl fx femur-opn,BW3PZZZ,260.01834
0591-5787,Hatity,Poisoning-ovarian hormon,F07M3UZ,410.17869
42291-252,Sub-Ex,Oth powered aircraft acc,DW055ZZ,620.21754
11410-101,Temp,Contracted palmar fascia,02WY38Z,736.54293
22840-0040,Zamit,Insect bite forearm-inf,02RF3JZ,772.6291
0078-0345,Zamit,Ca in situ liver/biliary,0M940ZZ,418.32393
52268-101,Holdlamis,Crush inj mult site NEC,0FWB4JZ,14.27051
0363-0724,Lotstring,Indust wiring/machin acc,09C60ZZ,240.39989
60505-0004,Solarbreeze,Toxoplasm conjunctivitis,02US37Z,592.74227
66116-429,Y-Solowarm,Radiological exam NEC,0BBN3ZX,365.95472
64735-074,Treeflex,Mal hyp ht/kd I-IV w hf,04Q84ZZ,506.66298
16714-354,Bigtax,Anal fissure,0DWW07Z,254.35952
54868-5982,Zathin,Malfunc urethral cath,B50D1ZZ,850.45473
62750-058,Opela,Open wound mouth NEC,0BP07CZ,9.67493
0115-9633,Namfix,Acc cut/hem w catheteriz,F07F3FZ,489.07817
66336-911,Subin,Delay conjugat jaund NOS,0L9S0ZZ,863.27716
24385-036,Domainer,Ancylostoma ceylanicum,0PPT34Z,968.10955
0126-0131,Zontrax,Local traumatic opacity,041C0ZC,872.92496
24236-609,Otcom,1st deg burn ear,D71,180.0205
61722-091,Lotlux,Cutan leishmanias ethiop,0RUJ4KZ,468.83847
65841-639,Wrapsafe,Blepharitis NOS,0HPRXKZ,190.54744
0093-8204,Redhold,Sialolithiasis,04104JB,785.63466
68788-9732,Bigtax,Cholesteatoma middle ear,04983ZX,154.01651
0173-0822,Ventosanzap,Cerebrovasc disease NOS,0DL37DZ,341.72381
10191-1093,Viva,Abnorm labor NOS-antepar,05BB0ZX,73.66883
0781-9413,Fix San,Impulse control dis NOS,0RJA4ZZ,121.89359
54458-886,Aerified,Unilat femoral hernia,0TU74JZ,605.81739
59762-3721,Stringtough,Malign neopl thorax,0RGN05Z,609.60544
55714-2320,Rank,Abdmnal tndr unspcf site,079P00Z,570.51873
49288-0365,Voltsillam,Dermatophytosis site NEC,0RWKX8Z,639.22902
75983-495,Tresom,Bone infect NOS-oth site,05HH3DZ,331.83999
0115-1460,Job,Unc behav neo urinar NOS,0X0F3ZZ,123.43751
58479-008,Konklux,Precordial pain,09R78JZ,29.05902
54473-217,Toughjoyfax,Polyhydramnios-delivered,0PUP4KZ,949.85672
50458-305,Voyatouch,Fet damg d/t drug-antepa,0LBS0ZZ,63.82712
11673-675,Bigtax,Trauma compart synd abd,B44GZZ3,698.13423
36987-2257,Flowdesk,Adv eff uric acid metab,05PY37Z,695.71256
68308-152,Kanlam,TB of ureter-exam unkn,057P4ZZ,655.30953
0245-1071,Ronstring,Fx symphy mandib bdy-opn,047P05Z,98.56755
36987-3375,Ronstring,Arterial disease NOS,0TT38ZZ,406.77439
49781-077,Cardify,Elb/forearm/wrst inj NOS,0UHH03Z,958.8136
42291-598,Regrant,Mv coll w obj-anim rider,CW16FZZ,540.62583
52959-965,Fixflex,Swimming/diving acc NEC,0P810ZZ,722.44656
40032-620,Alphazap,Temporal sclerosis,047937Z,273.31429
42546-015,Zathin,Placental polyp-unspec,0DTF7ZZ,869.20192
65044-0854,Veribet,Cellulitis NOS,0K9H4ZX,537.99649
52125-688,Keylex,Obstetric shock-unspec,0B9C3ZZ,756.55507
0074-3663,Toughjoyfax,Heart injury NOS-closed,0HRMXK4,975.3127
54868-5219,Bitwolf,Kaschin-beck dis-ankle,039H00Z,373.69809
53113-217,Flexidy,Galactorrhea-delivered,06LH3DZ,305.14806
43493-0002,Viva,Postperfusion forgn body,2W06X4Z,615.14185
76452-003,Zoolab,Eczem dermatitis eyelid,0KU64JZ,175.59965
0378-0183,Biodex,Cutaneous diphtheria,0W9830Z,167.98024
53603-2012,Hatity,Winds/brass instru play,0MUL4JZ,713.95035
43853-0010,Tresom,Heat exhaustion NOS,0XUF4KZ,10.93882
25225-016,Bitwolf,Idio periph neurpthy NEC,0W0047Z,189.31445
54868-5397,Bamity,Abd preg w/o intrau preg,06R24JZ,268.27153
41520-180,Daltfresh,Meth resis Staph carrier,0TRB8KZ,381.44978
13733-070,Fintone,Acc pois-synth detergent,0SWJ33Z,670.10664
67457-592,Prodder,Oth acq limb deformity,0LX30ZZ,793.13136
59898-730,Fix San,Degen basal ganglia NEC,0L8B0ZZ,62.56184
53499-2798,Prodder,Late eff wrist/hand burn,04C90Z6,780.02166
17714-013,Toughjoyfax,Deep 3rd burn face NEC,08UY77Z,605.57045
59572-220,Redhold,Fx up radius NEC/NOS-opn,04790GZ,126.95074
0075-2915,Tempsoft,Hodgkins sarcoma mult,0VWR4DZ,549.0191
42364-0013,Asoka,Keratin ridge mucosa-min,0RJ30ZZ,451.10722
60709-101,Lotstring,Cholera contact,0RPV00Z,439.17131
46122-019,Job,Meningitis oth spcf bact,009K4ZZ,160.57094
68788-9827,Fix San,Ehrlichiosis NEC,01DA0ZZ,952.60526
0527-1366,Tresom,Streptococcal pneumn NOS,0RHL43Z,697.5461
63545-645,Namfix,Aircrft acc NEC-grd crew,08H1X3Z,699.54857
0009-0395,Namfix,Gastrointestinal anthrax,0PPL44Z,631.85231
0121-4772,Otcom,Development delay NOS,2W58X6Z,361.34968
64406-806,Trippledex,Oth abn fet disprop-unsp,0DCH4ZZ,272.98684
0378-9671,Zontrax,Oth ob compl-deliv w p/p,BR0CZZZ,42.71368
51801-008,Alpha,Drowning in bathtub,F0723EZ,553.12416
60512-6152,Domainer,Acute paranoid reaction,0RSR05Z,139.76515
54868-1992,Regrant,Loc prim osteoarthr NEC,00XF0ZP,12.94262
61727-336,Pannier,Lymphomas NEC head,0XUN0JZ,775.24112
10956-003,Zoolab,Joint replaced wrist,02H733Z,3.89891
64117-193,Zaam-Dox,1st deg burn hand-mult,3E0B73Z,998.78918
17433-9884,Asoka,Unc behav neo liver,0S5H0ZZ,460.0141
41250-310,Biodex,Open wound auricle-compl,08P0XDZ,565.54794
0078-0640,Toughjoyfax,Branch cleft sinus/fistu,3E0J8U0,577.64426
59779-227,Namfix,Abn pelv org NEC-postpar,0BNG7ZZ,251.70568
62065-514,Sonsing,Lumbsacral root les NEC,0FV93DZ,864.63429
54868-4892,Flexidy,Injury median nerve,0477376,681.91464
0642-0120,Asoka,Late ef-hemplga side NOS,041N0ZQ,617.57906
63629-3377,Y-find,Gendr identity dis-child,04UY3JZ,702.61451
59779-242,Solarbreeze,Malig melanoma lip,0SSF45Z,223.65252
55301-011,Bigtax,"Barotrauma, sinus",07B34ZZ,563.50387
54973-3158,Ronstring,Mitr/aortic mult involv,067R0DZ,374.38752
53603-3002,Duobam,Poisoning-salicylates,0LXJ0ZZ,490.93765
57664-359,Duobam,Anom iris & cil body NEC,09WJ4KZ,507.95794
36987-1738,Viva,Conjunctival cysts,0G9730Z,61.37105
43251-2241,Sonsing,Severe birth asphyxia,0PB40ZX,775.0748
54868-5893,Sonsing,Hx-other food allergy,0JUH3JZ,477.46861
36987-1485,Overhold,Prem rupt membran-deliv,03BC4ZX,311.0301
23155-036,Gembucket,Paratyphoid fever NOS,B34HZZ3,915.12349
45865-348,Fix San,Acq finger deformity NEC,0SHL38Z,786.00304
49349-025,Span,Other hammer toe,0T824ZZ,492.49074
64175-525,Domainer,Submers NEC-docker,BP3LZZZ,616.8688
36987-1135,Asoka,Paral polio NEC-type 2,0D130Z9,196.91302
41250-248,Overhold,Nd other specf vacnation,089D30Z,226.54724
58503-048,Zathin,Calcif tendinitis shlder,0RUT47Z,240.84177
49288-0823,Domainer,Drug mental disorder NOS,0YJ94ZZ,809.14949
50419-703,Bigtax,Fx olecran proc ulna-opn,05564ZZ,614.94997
54973-0232,Tin,Lymphomas NEC inguin,041C0A4,445.69479
0078-0439,Sonair,Screen lipoid disorders,DUY2FZZ,870.65717
52389-118,Overhold,"BMI 37.0-37.9,adult",0YWBXKZ,246.27763
64117-873,Zontrax,Trans-sexualism NOS,0P9500Z,701.63984
63323-427,Ronstring,Parapoxvirus infectn NOS,0W1J0JB,971.34168
52533-146,Cardify,Cortex contusion/opn wnd,BQ3,325.39367
51672-1300,Stronghold,Acute prostatitis,07VG4DZ,969.96959
16729-276,Subin,Poliomyelitis contact,0DUM4KZ,895.22781
0007-4893,Cardguard,Edema of eyelid,HZ86ZZZ,309.04871
29978-606,Konklab,3rd deg burn leg-mult,0SWNXJZ,305.25039
55648-735,Greenlam,Aft oral cav/dig sys NEC,06100JY,771.95489
0555-0634,Veribet,Early congen syph latent,0UQ98ZZ,335.81655
55312-355,Quo Lux,Poison-sympathomimetics,04U04KZ,489.16253
41163-503,Fixflex,Acc-powered lawn mower,021Q48A,2.28903
37205-678,Solarbreeze,Syphil tricuspid valve,0RJH0ZZ,969.07989
68001-106,Y-Solowarm,Transfusion reaction NOS,099100Z,285.00251
43742-0175,Viva,Malfunc card dev/grf NOS,0SP64KZ,898.4232
55312-950,Toughjoyfax,Fx sacr-op/cauda equ les,0PS1XZZ,154.41957
54859-603,Biodex,Cl skl w oth fx-mod coma,05U,373.32987
64942-1353,Fix San,Burn NOS lower leg,0D9F00Z,840.38734
42549-531,Solarbreeze,Genital organ anom NOS,4A02X4Z,604.92192
63739-579,Bigtax,Hearing loss NEC,0WPQ43Z,618.51225
49349-866,Job,Recur dislocat-forearm,08W037Z,436.20437
11673-958,Y-find,Chr stomach ulc NOS-obst,05VL3ZZ,339.38132
65841-046,Regrant,Tox eff organphos/carbam,DD15BYZ,952.38883
36987-1142,Stringtough,Singl livebrn-before adm,0HBDXZZ,497.81762
51393-6657,Y-Solowarm,Cracked nipple preg-unsp,0KXB4Z1,2.55989
76420-795,Fix San,Nutritional anemia NEC,0WPG01Z,178.92085
49580-0024,Latlux,Liveborn NOS-before adm,0TH502Z,422.46759
0053-8132,Alpha,Crushing inj trunk NEC,0RGK04Z,17.08225
50845-0103,Biodex,Ant disloc humerus-close,0LSH0ZZ,217.06199
67938-1165,Greenlam,Resp TB NEC-no exam,051R0KY,410.74905
66129-115,Konklab,Heart compl in del-unsp,4A0ZXKZ,568.88029
0245-0150,Gembucket,Iron def anemia dietary,037M46Z,465.1616
58154-100,Toughjoyfax,Hallucinogen dep-contin,3E0R3KZ,744.93189
55111-357,It,Tabes dorsalis,0KC40ZZ,667.58464
0363-6080,Fix San,Viral encephalitis NOS,0PUD4KZ,248.45519
49349-203,Bitwolf,Scrub typhus,0D9M3ZX,444.1376
54868-5687,Vagram,Lactat dis NEC-antepart,00UJ37Z,788.85812
76168-057,Konklux,Undescended testis,0PCD4ZZ,543.68354
67253-942,Prodder,War injury:gas/fum/chem,0PR137Z,131.99099
41190-913,Ventosanzap,Rheum pulmon valve dis,0JN63ZZ,433.31882
49999-636,Span,Fetal mal 1500-1749g,0MUJ0JZ,972.20751
0093-3012,Pannier,Late eff wrist/hand burn,BT0CZZZ,543.29722
10157-9877,Sonair,Abn react-gastric sound,00XN4ZH,745.90268
10237-826,Fintone,Twin gest-plac/sac NOS,047V4F6,760.87289
49349-142,Zontrax,Urticaria NOS,047W0EZ,635.07486
24385-505,Gembucket,Fx malar/maxillary-close,BQ00ZZ1,798.18716
49344-0001,Bytecard,Phlebotomus fever,DUY0FZZ,322.41911
48951-3134,Ventosanzap,Prp septc thrmb-postpart,0BPKX1Z,308.56753
51862-215,Greenlam,Hpt C acute wo hpat coma,08H1X1Z,666.73083
16038-001,Mat Lam Tam,Essen hyperten preg-unsp,2W0RX1Z,833.33388
51009-116,Kanlam,Malfun neuro device/graf,0BP13JZ,313.59828
0904-6323,Job,Benign carcinoid stomach,0KXG0Z1,871.47688
43419-853,Bamity,Opn skul/oth fx-mod coma,037P3GZ,580.23734
75847-1712,Bigtax,Esoph varices w/o bleed,B307ZZZ,826.46077
10812-129,Flowdesk,Oth viral dis-del w p/p,0TW93JZ,37.25128
60793-430,Rank,Blood donor-stem cells,0BPK81Z,63.55847
21130-532,Bamity,Inf mcrg rstn ttrcycln,3E04003,661.61899
52125-868,Job,Opn wound hand-complicat,09QK4ZZ,296.23587
55111-472,Gembucket,Fracture five ribs-close,BR1GZZZ,667.75821
0603-4081,Duobam,Prolong gestation-infant,B314YZZ,873.25164
49288-0575,Lotlux,Nervous system anom NOS,BL31YZZ,360.61823
59078-037,Kanlam,Demoralization & apathy,0CRX072,817.92809
50436-3182,Zontrax,Weeks of gestation NOS,0NRX4KZ,522.1963
20276-210,Bytecard,Unequal leg length,09QN7ZZ,964.48349
55111-119,Sonsing,Postop oth specfd aftrcr,0PPQ45Z,569.90443
55154-9659,Zamit,Obs chr bronc w(ac) exac,035U3ZZ,532.04372
22840-0037,Stim,Benign hyp ht dis w/o hf,2W68XZZ,264.53339
49288-0789,Konklux,Excessive cold NEC,0H9KX0Z,843.30019
49288-0239,Greenlam,Light-for-dates <500g,037V46Z,148.74264
0722-7075,Domainer,Arthropod virus NEC,08TM3ZZ,835.26665
63323-382,Konklux,Late eff accidental fall,0FVD8DZ,606.96703
65862-187,Quo Lux,Congenital coxa vara,0V5K0ZZ,647.45639
53808-0316,Overhold,Open wound vulva-compl,08Q43ZZ,762.84483
10424-107,Stringtough,Acq knee deformity NEC,0GNM4ZZ,345.2821
0409-1276,Keylex,Organic writers' cramp,0GW130Z,677.55762
42291-371,Flowdesk,"Fx navicular, foot-open",06V54ZZ,571.71859
50458-920,Stim,Open wound of breast,0D1B8ZN,97.51812
60505-0040,Fintone,Acq absnc cerv/remain ut,041J4KH,58.99
62011-0089,Holdlamis,Screen mal neop-rectum,080P0ZZ,864.7558
63629-4720,Bamity,Peritonitis NOS,0WHM41Z,978.44387
10267-2688,Latlux,Mumps encephalitis,03150K6,635.21774
43742-0087,Konklab,Counslng sbstn use abuse,0PHF34Z,344.19065
43547-337,Andalax,Benign neoplasm NOS,037U0F6,534.8378
66336-687,Temp,29-30 comp wks gestation,BQ3VZZZ,437.16805
0527-1396,Span,Fx low femur epiphy-open,07LG3DZ,95.3046
49575-003,Flowdesk,Ureter injury-open,0RHL08Z,867.6682
0603-1452,Transcof,Intrathorac inj NOS-open,0CBJ0ZX,539.84707
52959-420,Zontrax,Assault-gasoline bomb,05HY33Z,139.38174
76237-231,Sonair,TB of ear-exam unkn,0QSJ44Z,864.65595
0093-4741,Solarbreeze,Hx nerv sys/snse org NOS,0SRW0J9,457.23974
76439-321,Biodex,Uterine size descrep-p/p,0NH434Z,969.15849
21695-616,Fintone,Disl finger NOS-closed,F07B6GZ,188.09812
51655-413,Sub-Ex,Helminth arthrit-pelvis,0B9440Z,406.45496
59746-348,Quo Lux,Vertigo,DP043Z0,813.48168
62670-4245,Overhold,"Quadrplg c1-c4, incomplt",07U50JZ,274.47566
17630-2031,Flexidy,TB lung fibros-micro dx,09TF0ZZ,451.04737
50556-003,Pannier,Arcuate uterus,03V74ZZ,456.59394
68788-9685,Gembucket,Inf mcr rst ot drg nt ml,0QPG0JZ,423.78433
0268-1151,Greenlam,Pois-corticosteroids,0W044JZ,712.76037
21130-063,Kanlam,Cereb degeneration NOS,0D1N8KN,904.44587
36987-2166,Alpha,Crush inj neck,B338Y0Z,248.69879
67938-1086,Tresom,"Del-mult brth, some live",02CV3ZZ,422.33016
24385-986,Solarbreeze,Adv eff antivaricose,0XH433Z,734.36014
13537-153,Solarbreeze,Prsn hst ot spf urn dsrd,09JJ4ZZ,665.70278
55154-4621,It,No vaccin-acute illness,0WHR4YZ,427.30189
50544-005,Wrapsafe,Schizophr dis-chr/exacer,037L06Z,508.60277
0078-0406,Cookley,Hx monoclonal drug thrpy,0K5W4ZZ,234.56906
10893-200,Y-Solowarm,Instrumnt fail-infusion,061V49Y,162.27717
41520-047,Latlux,TB thorax node-no exam,0M9M30Z,878.73661
76328-334,Sub-Ex,Abdmnal rgdt periumbilic,0NW0X4Z,591.86007
60512-1007,Fintone,Chr mycot otitis externa,0F950ZZ,373.30522
65044-1660,Tres-Zap,Glauc resid-ster induced,0YJK0ZZ,481.54375
68737-229,Toughjoyfax,"BMI 60.0-69.9, adult",B317010,556.96156
63629-4173,Quo Lux,Loss of height,0HWQXKZ,395.8728
10237-703,Regrant,Hx-blood diseases,03130JJ,645.49229
68472-117,Prodder,"Pressure ulcer, upr back",08P1XJZ,112.03048
68001-177,Daltfresh,Adv eff opiat antagonist,0D958ZX,220.88222
35356-670,Tresom,Economic problem,041D4AG,936.82237
42291-886,Mat Lam Tam,Congenital diplegia,0QP245Z,541.85463
0615-7747,Voltsillam,Genu varum,0RPK03Z,204.8864
64679-987,Solarbreeze,Sbac lym leu wo ach rmsn,0RPA47Z,758.06752
64942-1123,Fintone,Malig neo vertebrae,0QSJ04Z,557.95758
60512-2003,Redhold,Sprain chondrosternal,047V0DZ,860.0606
65841-617,Stringtough,Open wound of foot,07V20CZ,225.16581
50383-732,Daltfresh,Acc d/t weightless envir,0T907ZZ,449.12275
67777-130,Home Ing,Pellagra,037K076,862.35799
51815-218,Trippledex,Pseudomonal pneumonia,CV1,426.56704
51672-1263,Regrant,Mv-train coll-motorcycl,0SW534Z,955.33659
33261-969,Voltsillam,Ped cycle acc-pers NOS,0B767DZ,220.75312
57520-0327,Stronghold,Brain hem NEC w/o coma,0314093,458.01233
15687-001,Y-Solowarm,Infantile hemiplegia,04NH0ZZ,921.63571
63629-5284,Stringtough,Burn NOS scalp,0DUV0KZ,933.95331
0378-2777,Matsoft,Transient mental dis NEC,DM005ZZ,571.40322
23155-112,Alpha,Malig carcinoid kidney,0QHK48Z,45.38102
64418-1122,Andalax,Poison-corrosiv/caustic,0KXJ0Z2,188.76272
65862-149,Zaam-Dox,Preg compl NOS-delivered,0TWD0KZ,155.4428
0074-3074,Mat Lam Tam,80-89% bdy brn/10-19% 3d,0RPA30Z,126.64475
51079-620,Wrapsafe,Hodg nodul sclero thorax,037337Z,966.22352
63941-102,Wrapsafe,Mal carcnoid hindgut NOS,037M34Z,422.35679
55312-182,Bamity,Opn cortex lacer-no coma,0LR64JZ,539.67827
43857-0097,Sub-Ex,Ac bulbar polio-type 2,0FVC7ZZ,296.74195
59078-043,Stronghold,Intertrochanteric fx-opn,0TWD4JZ,741.5994
0268-6772,Latlux,TB of thyroid-exam unkn,05H13DZ,801.30294
43063-174,Veribet,Meningococc encephalitis,0PRP47Z,21.46452
57520-0481,Lotlux,Genital organ anom NOS,0NB63ZZ,298.86016
0591-2785,Viva,Inj superfic femoral art,037S47Z,274.56927
49349-730,Holdlamis,Preg w hx-trophoblas dis,3E0634Z,804.70747
43269-739,Bytecard,Oculoglandular tularemia,05RP07Z,500.7716
42236-001,Home Ing,Mult endo neoplas type I,0PWV35Z,102.21634
37012-161,Fixflex,Night blindness NEC,F0702EZ,266.44516
65044-0790,Bitchip,Hx in utero proc fetus,0LUT0JZ,292.35983
0093-7542,Zamit,Hepatitis B carrier,B54PZZ3,268.97292
76159-002,Biodex,"Atheroembolism, site NEC",090147Z,862.59391
49738-763,Namfix,Syph dissem retinitis,041L0ZL,186.78345
65722-0123,Trippledex,Polyarthrit NOS-forearm,00BQ4ZX,902.91062
51596-010,Home Ing,"""ventilation"" pneumonit",047005Z,466.25865
50563-134,Treeflex,Spon ab w ren fail-comp,0SG83ZZ,722.80648
53145-304,Alphazap,Ear anom NOS/impair hear,07WM33Z,501.04827
24451-771,Zaam-Dox,Fam hx-cardiovas dis NEC,05VA4ZZ,133.00117
